epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4913,0.59849,2.92394,1.07825,0.00456,1,0.24887,0.17469,0.38877,3.41181,0.93526,1.667e-05,1.667e-05,1.667e-05
2,60.2602,0.4961,2.88602,1.00346,0.00451,1,0.31051,0.24953,0.35857,3.39396,0.91539,4.90198e-05,4.90198e-05,4.90198e-05
3,84.773,0.56465,2.84317,1.08767,0.00446,1,0.43333,0.38965,0.32748,3.35528,0.88135,8.00493e-05,8.00493e-05,8.00493e-05
4,108.125,0.48812,2.67755,1.05375,0.00441,1,0.47364,0.43508,0.33644,3.31067,0.8631,0.000109759,0.000109759,0.000109759
5,134.552,0.51162,2.44303,1.03462,0.0044,1,0.50262,0.47231,0.31729,3.25909,0.83491,0.000138148,0.000138148,0.000138148
6,160.237,0.54035,2.19403,1.09379,0.00428,0.97059,0.54985,0.52196,0.31583,3.17418,0.83006,0.000165216,0.000165216,0.000165216
7,184.049,0.52046,1.96429,1.10234,0.00433,0.97059,0.58374,0.53041,0.39023,3.14809,0.86891,0.000190965,0.000190965,0.000190965
8,209.931,0.50541,1.71176,1.07328,0.00431,0.97059,0.60608,0.48981,0.51438,3.19795,0.97765,0.000215393,0.000215393,0.000215393
9,234.028,0.47324,1.53576,0.97358,0.67335,0.12023,0.60222,0.45862,0.5493,3.2276,1.01296,0.000238501,0.000238501,0.000238501
10,256.661,0.44538,1.5156,0.99407,1,0.05341,0.54365,0.42635,0.58789,3.23108,1.04763,0.000260289,0.000260289,0.000260289
11,279.445,0.51256,1.46033,1.00225,1,0.05324,0.52607,0.39601,0.6314,3.25083,1.09009,0.000280756,0.000280756,0.000280756
12,304.381,0.50411,1.51223,1.09925,0.54231,0.06717,0.5294,0.40311,0.62381,3.19931,1.1057,0.000299903,0.000299903,0.000299903
